Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.2,,,Vertical Scale,2
Vertical Position,2,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.8892e-02,0.381625,5.02109,,-1.8892e-02,-4.64594
-1.8888e-02,0.381469,5.02344,,-1.8888e-02,-4.64969
-1.8884e-02,0.381312,5.02344,,-1.8884e-02,-4.64406
-1.8880e-02,0.382094,5.02109,,-1.8880e-02,-4.64375
-1.8876e-02,0.382656,5.03125,,-1.8876e-02,-4.64344
-1.8872e-02,0.38275,5.02812,,-1.8872e-02,-4.65094
-1.8868e-02,0.383094,5.04219,,-1.8868e-02,-4.65188
-1.8864e-02,0.383344,5.04531,,-1.8864e-02,-4.65781
-1.8860e-02,0.383875,5.04531,,-1.8860e-02,-4.65469
-1.8856e-02,0.384281,5.04766,,-1.8856e-02,-4.66844
-1.8852e-02,0.385125,5.05234,,-1.8852e-02,-4.66719
-1.8848e-02,0.384813,5.05781,,-1.8848e-02,-4.6725
-1.8844e-02,0.384969,5.06172,,-1.8844e-02,-4.67063
-1.8840e-02,0.38575,5.06562,,-1.8840e-02,-4.67188
-1.8836e-02,0.386156,5.06406,,-1.8836e-02,-4.67969
-1.8832e-02,0.386594,5.07422,,-1.8832e-02,-4.69094
-1.8828e-02,0.386312,5.08906,,-1.8828e-02,-4.70156
-1.8824e-02,0.387625,5.08594,,-1.8824e-02,-4.69781
-1.8820e-02,0.388437,5.09609,,-1.8820e-02,-4.69906
-1.8816e-02,0.388781,5.09297,,-1.8816e-02,-4.70812
-1.8812e-02,0.389,5.10234,,-1.8812e-02,-4.71344
-1.8808e-02,0.389406,5.10078,,-1.8808e-02,-4.70844
-1.8804e-02,0.389906,5.10703,,-1.8804e-02,-4.71312
-1.8800e-02,0.3905,5.10938,,-1.8800e-02,-4.71594
-1.8796e-02,0.390312,5.11484,,-1.8796e-02,-4.7225
-1.8792e-02,0.390875,5.11328,,-1.8792e-02,-4.72406
