Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9196e-02,-1.36594,1.40656,,-1.9196e-02,-2.77188
-1.9192e-02,-1.36187,1.40563,,-1.9192e-02,-2.77438
-1.9188e-02,-1.365,1.40781,,-1.9188e-02,-2.77469
-1.9184e-02,-1.36656,1.40813,,-1.9184e-02,-2.77469
-1.9180e-02,-1.36594,1.40906,,-1.9180e-02,-2.77687
-1.9176e-02,-1.3625,1.40875,,-1.9176e-02,-2.77406
-1.9172e-02,-1.36312,1.40969,,-1.9172e-02,-2.77281
-1.9168e-02,-1.36344,1.41125,,-1.9168e-02,-2.77375
-1.9164e-02,-1.36594,1.41219,,-1.9164e-02,-2.77625
-1.9160e-02,-1.3675,1.40969,,-1.9160e-02,-2.77469
-1.9156e-02,-1.36312,1.40969,,-1.9156e-02,-2.77375
-1.9152e-02,-1.365,1.41187,,-1.9152e-02,-2.77375
-1.9148e-02,-1.3675,1.41031,,-1.9148e-02,-2.77719
-1.9144e-02,-1.36312,1.40719,,-1.9144e-02,-2.77469
-1.9140e-02,-1.36156,1.41125,,-1.9140e-02,-2.77188
-1.9136e-02,-1.36156,1.41125,,-1.9136e-02,-2.77156
-1.9132e-02,-1.3625,1.41125,,-1.9132e-02,-2.77031
-1.9128e-02,-1.36438,1.40719,,-1.9128e-02,-2.77469
-1.9124e-02,-1.36312,1.40969,,-1.9124e-02,-2.77406
-1.9120e-02,-1.36031,1.40781,,-1.9120e-02,-2.77062
-1.9116e-02,-1.36031,1.40719,,-1.9116e-02,-2.77219
-1.9112e-02,-1.36344,1.40719,,-1.9112e-02,-2.775
-1.9108e-02,-1.36344,1.40625,,-1.9108e-02,-2.77469
-1.9104e-02,-1.36344,1.40406,,-1.9104e-02,-2.77125
-1.9100e-02,-1.36094,1.40563,,-1.9100e-02,-2.77375
-1.9096e-02,-1.36156,1.40406,,-1.9096e-02,-2.76906
